category,review_title,review_content,rating
Headsets,Ps3 headphone,Work 10 out of 10 for ps3 my son says it the best one he had recommend to buy,5
Headsets,Good price and comfy,Nice affordable headphones for PS4,5
Controllers & Attachments,Glad I brought!,"Great controller! The design and feel are great. Could just be my mind playing tricks but, it also feels as if it was built to last.",5
Controllers & Attachments,Genuinely near perfect condition,"The box was a little bit beat up, but that really is not a big deal, the controller was basically never used and close to mint condition. Even the original batteries weren’t used.",5
Controllers & Attachments,Amazing Detail!,"I've needed a new controller for a long time, so finally getting a new one was a tough choice but this was the obvious winner. I love the rough look of it and the very small details that you can only see if you have the controller in your hands.Read full review...",5
Controllers & Attachments,Choose another,The joy sticks were. Stiff and the mic receptor was hard to use (like it was smaller than it should be) was kind of expensive but I guess they all are,4
Controllers & Attachments,Great product for the price.,"Love this controller, the design is so cool. Feels great and works great.",5
Controllers & Attachments,Works perfectly,I’m having a great time Having to take pictures so nobody thinks they got dupedthe stand is not included,5
Controllers & Attachments,Grandson loves it.,My grandson sent me this specific controller in a text.  Me being the great Nanoo that I am...I complied.  If he picked it out....it's top notch.  He does his homework!!,5
Controllers & Attachments,Bad shipping.,Came with the original xbox controller box all smashed up. No padding nothing. Damaged all the way......,1
Controllers & Attachments,Fire,Came as described 💯,5
Controllers & Attachments,"Great control, smooth trigger",Verified purchase:  Yes | Condition: new | Sold by: cowpatty24,5
Controllers & Attachments,Awesome,Great!,5
Controllers & Attachments,Just as specified,Brand new..works great,5
Controllers & Attachments,Stylish and functional,"Stylish, functional, and a great addition to my collection of unique controllers.",5
Controllers & Attachments,Great controller,"Great value, Great price",5
Controllers & Attachments,Great product,Love the design,5
Controllers & Attachments,Controller,Excellent condition highly recommended,5
Controllers & Attachments,R,Verified purchase: No,5
Video Games,Best fighting game on the Switch so far!,"This is a great game for all switch owners. There is about 70 characters excluding DLC and you can customize and play as your own mii fighters as well as customize a stage to battle in. The story mode is like a chesspeice-style fighting game where you move around a board and select your battles. After being introduced to brawl and its story filled with awesome cutscenes, It's a bit of a bummer this game doesn't have much of a story and barely any cutscenes to go with it. There is also no couch co-op in the story mode (spirit mode) which is also a bummer, but because of the way they set of story mode along with its chess peice style gameplay, it makes sense. I personally prefer how they handled story mode in brawl but this game is great regardless. It's super fun and allows you to play characters spanning from even more different franchises like Ryu from Street Fighter or Megaman from the Megaman series :)Read full review...",5
Video Games,the best Smash Bros. game,"Incredible amount of content, very nostalgic and perfect gameplay. Even the online mode is a major step up from Smash on Wii U : lag is almost gone. This is the best Smash Bros game Nintendo has put out yet and deserves a spot in anyone's Switch library.Read full review...",5
Video Games,Arrived early with an included blank case,"Won't be able to test the game until I get my switch, but tried it in my brother's device and it recognized the card (he had a smash digital download already). Arrived ahead of schedule, well packed, and even in its own blank case which I wasn't expecting.Read full review...",5
Video Games,Excelent Game!,This game is the best Super Smash Bros. Crossover there has ever been.  Everyone IS here. Plus additional DLC and the updates it received makes for a greater experience. This game is worth it.,5
Video Games,Great Game for Experienced and New Gamers,"A great game! It has so many extras and Easter eggs for Nintendo fans, yet is easy enough to grasp that anyone can pick it up and play.",5
Video Games,Best Smash Bros. yet!,This game is off the charts! So many different levels and characters to choose from. You’ll never get bored. It’s the ideal time killer for solo or group play! Highly recommend for all ages!,5
Video Games,Great family game,"The game is exactly what my children wanted, They all are excited to have the game together and will not stop using it. The product does indeed work great and the game play is amazing. Great buy.",5
Video Games,Great fighting game for younger players,"Works great! My son loves this fighting game, lots of Nintendo characters to choose from and fun ways to attack without being ultra-violent.",5
Video Games,It's Mario 64 all over again. And that's AWESOME!,"Remember how you felt playing Mario 64 or Ocarina for the first time? That sense of wonder, how each new area or action was a discovery?  This game does exactly that. It does borrow a little from Banjo Kazooie but that was a great game to so who cares!My only complaint is that they push using the joycons from time to time, but there's no reason you can't use the pro controller and still enjoy every part of this game.Read full review...",5
Video Games,Great game for a great price,I bought smash bros and I could not tell you how happy I am that the game is working. I got this for a cheap price and the game runs as it should.,5
Video Games,"Great game, haven't stopped playing","This game is so much fun. Being that it's a combination of all the SSB series titles before it, this has to be the best one yet!",5
Video Games,AWESOMENESS!!!!!!!!!!!!!!!!!!!!!!!,smash bros ultimate is an awesome game. I`m glad I bought it because it`s fun with friends or even by yourself.,5
Video Games,Great Game,Instantly became a smash addict. The game works on my switch. No issues at all. Thank you,5
Video Games,Can’t complain!,The game is awesome. The shipment didn’t take long at all. It’s worth it than having to go to a store to spend $60.,5
Video Games,Great game,My 6 year old son loves this game. It works perfectly. Very happy with this purchase.,5
Video Games,Top game for my son,My son loves this game in every game console,5
Video Games,Great Stuff,A classic game on a new platform.Always fun and never boring.,5
Video Games,Good game for young and old alike,Easy to pick up and get the gist of without knowing much. Good game for all ages of players,5
Video Games,Must have game.,Really fun game if you have friends to join and play alongside you. Especially with the huge variety of characters.,5
Video Games,Nostalgic feelings playing this game,"This game brings me back to the old school Nintendo GameCube era, plus with a overwhelming amount of characters means hours of game play",5
Video Games,Astounding,This is the most beautiful looking video game I’ve ever seen in my entire life. Buy it.,5
Video Games,A good time,Awesome game. It’s definitely one you can play for years with your friends or online.,5
Video Games,Love it!,Great game to play alone or with friends! It's a great spin off the classic!,5
Video Games,This game is really nostalgic and amazing. Worth every penny.,Verified purchase:  Yes | Condition: new | Sold by: espynjesse,5
Video Games,Works well. Fun game,Absolutely loved it and was in super good condition. Thank you!,5
Video Games,Good game,Game is pretty good and has what is described in multiple reviews.,5
Video Games,One of the best game for Nintendo,"Great game, a little expensive, but it was the same price everywhere else",5
Video Games,Enriching display of violence!,"Wonderful, entertaining game with great graphics.",5
Video Games,Must buy!,Absolutely love this game! The graphics are fantastic and it keeps me playing for hours.,5
Video Games,Good game,Great game easy transfer.,5
Video Games,Great fun at parties,"Fun game to play with friends, you can also play online",5
Video Games,Great NS Game,My kids love the game we play a lot !!!,5
Video Games,Awesome Family Fun,My family loves this game 🥰💯,5
Video Games,Love this game. It's our second purchase as we lost the chip!,Love it so much we've bought two!!,5
Video Games,05-May,"I've been playing Smash Bros since it began, this is a really good evolution of the series. Tons of new features, stages, music and characters to keep it interesting.",5
Video Games,I love this game!!!!,Incredible and fun game. Nostalgic from first smash bros,5
Video Games,"Item as described, great game","Item as described, great game",5
Video Games,A must have with the Nintendo switch,5 stars I love this game,5
Video Games,Amazing game!,My son loves it!!!He’s always playing...,5
Video Games,Good toys.,"Good item, good game experienc",5
Video Games,Smash Bros Ultimate,Best game on the switch by far!!,5
Video Games,Awesome,"Classic Nintendo game, smash bro’s can never fail!",5
Video Games,great game,I got this game for my daughter for her birthday and she loves it,5
Video Games,Perfect,Arrived on time and is an amazing game!,5
Video Games,Good game.,Mario Brother Fans will enjoy. Fun.,5
Video Games,lot of fun,great game,5
Video Games,Good game,Verified purchase:  Yes | Condition: pre-owned | Sold by: ashgrabbr631,5
Video Games,Good game,Verified purchase:  Yes | Condition: new | Sold by: nationwidedistr...,5
Video Games,Good game!,Verified purchase:  Yes | Condition: pre-owned | Sold by: dreambig01,5
Video Games,Great game,My Grnd Sons love this game its worth the look on there faces !,5
Video Games,great game,as described.,5
Video Games,Awesome game,Straight up best fighter for switch,5
Video Games,Works great,"Got this used. Game works as expected, good purchase!",5
Video Games,Fun game,Kids and grandkids love this game,5
Video Games,Love this game!,Kids and grandkids play together all the time and they love it.,5
Video Games,Good game,Nice to do business with.,5
Video Games,It’s a great game!!!,Verified purchase:  Yes | Condition: new | Sold by: nerdy_nero,5
Video Games,Great game,My son loves this game fast shipping A#,5
Video Games,Super Smash Bros.,Good game.,5
Video Games,Love it,I loved playing this game on the GameCube and so it makes me happy playing it.,5
Video Games,Happy,The game works great!,5
Video Games,Super smash bros ultimate,It is fun but is very hard to get the characters so maybe next time they can tell us how to get characters,5
Video Games,Video game,Great game,5
Video Games,Game is in working condition,Woks great!,5
Video Games,Good game,My son loves this game. He's plays every chance he gets.,4
Video Games,Best game,Good game,5
Video Games,Super smash is the best,"Great game, super smash never gets old.",5
Video Games,Super Smash Bros.,Great game. Great condition,5
Video Games,Love it!,I love this game and he was nice enough to resend it after complications.,5
Video Games,Nice Super Smash Bros Edition Switch,Great switch to buy due to the whole Cov-19 situation. Not many switches are being sold for MSRP due to the shortages many retailers are facing.,5
Video Games,Best game ever!!!,First off the price was awesome shipping super fast gameplay was amazing great story great plot just game of the year for me thanks!,5
Video Games,The Last of Us Part II is a Masterpiece.,"There literally aren't enough stars to rate this game. Not exaggerating when I say it may be the best video game I've ever played. It is so well-written, deliberate, and finely-crafted that it does it a disservice to merely call it a ""game."" Its something more like playable literature. If it had been released as an 800 page novel, it would have almost certainly won the Pulitzer.Read full review...",5
Video Games,"Great game. Game of the year contender 

Fantastic story. Amazing graphics. Game of the year contender ",Verified purchase:  Yes | Condition: new | Sold by: tomyamkong,5
Video Games,Great game ,"The game is well made and flawlessly produced. The gameplay is addictive , fun and varied . The story has some shortcomings but do not let that deter from an amazing cinematic gaming experience. This game truly is a beautiful and compelling send off to an amazing console . This pushes the ps4 to its limits and uses every bit of technology available to deliver an awe inspiring and emotional experience. The sheeple giving this a bad review are only doing it because other people are and haven’t even fully experienced the game. The story I’ll admit is slightly flawed but everything else about this game is a masterpiece and the creators of this should be proud.Read full review...",5
Video Games,Good Graphics and Story. Hoping for a 3rd game in the series.,Don't care much for the politically correct push infused into this game. The graphics and story are good and I think better than the first.,5
Video Games,Gift,"My daughter plays this game with her friends. I just hear them screaming and yelling, so it must be good.",5
Video Games,Great,Loved the game! The game was sealed and was brand new.,5
Video Games,Awesome,"Very good game.Graphics,storyline.A great continuance of the first game",5
Video Games,Great game,Got this for my daughter and she loved the game! It was exciting and the graphics were great!,5
Video Games,The last of us  part 2,This game is awesome! no bad all good,5
Video Games,The story is amazing,Its a good game,5
Video Games,AMAZING!!!,Absolute amazing game! Worth your time and money!,5
Video Games,The best so far,I love everything about this game.,5
Video Games,Instant classic game,One of the best video games ever made,5
Video Games,The Last of Us 2,Amazing game would recommend to any true gamer ,5
Video Games,Great,Great game,5
Video Games,Good game ,Good but not a great game ,5
Video Games,Amazing game A+,Fantastic game. Buy it. That’s all that i can say ,5
Video Games,Ignore fake 1star reviews,"The game is really good.It does have some unexpected gameplays, but it is much more interesting then just killing zombies.Great story.",5
Video Games,hours of fun,The graphics are just compelling.I am having a great time on  trying to finish the game.Will buy more if made.,5
Video Games,Last of us,Thanks love it,5
Video Games,Ignore the fake 1-star reviews,The game is really amazing and it’s once in a generation experience. It pushes the medium forward and raised the bar extremely high. ,5
Video Games,Great job.,I just started playing it but it got interested so far.,5
Video Games,LAST OF US 2 ,This was a great buy I highly recommend it!! Great bang for your buck ,5
Video Games,Nice,Good,5
Video Games,GOTY,Easily the GOTY,5
Video Games,The Last Of Us 2 ,this is one of the best game I have ever play tons of fun buy this game and u won’t be dispoing,5
Video Games,Fabulous,Awesome,5
Video Games,Last of us 2,Love it,5
Video Games,A worthy sequel.,This game is phenomenal. I ignored all the leaks and judged the games for myself and absolutely loved almost every minute of it.,5
Video Games,Awesome,Verified purchase:  Yes | Condition: pre-owned | Sold by: riag-33,5
Video Games,A Masterpiece ,This is one of the best game ever made in the history of gaming.,5
Video Games,Great Game,"It is an a great game, Good Story.",5
Video Games,Awesome game!,"Totally loved the game, wonderful story, with twists and turns. ",5
Video Games,Terrible game,Don’t waste your time on it lol,1
Video Games,Bad story ,Not worth 60$ ,1
Video Games,The better,Excelente,5
Video Games,It sucked,Verified purchase: No,1
Video Games,Buen Pasatiempo,excelente Juego ideal para Pandemia!,4
Video Games,Fun game to play with friends,"Got this game not playing the first one first, didn't know exactly what to expect other than an online first-person shooter. Got on PS Plus with some of my friends and started learning the depth of the game. At first the leveling system and engram system we're a little difficult to understand, but after talking to friends I got the hang of it pretty quickly.Graphics are great, physics are pretty good. I always like games where you can see your legs in the game. I would like to see more character development, but coming from someone who hasn't even played the first Destiny, it's not a dealbreaker. The game is worth it, if only for the fun experiences you will have grinding with your friends.Read full review...",5
Video Games,Same like the 1st destiny,After hours of playing destiny to it doesn't seem like much of a difference from the first game is still tons of farming tons of playing and I don't see much of a difference to be honest I said if I level up to 20 I'm gonna sell the gameRead full review...,3
Video Games,Five stars shooting game,"Bungie did a superb job with the new Destiny 2. Graphically Destiny 2 is beautifully presented. Have a mixture of weapons in the game, from automatic rifles, sidearms, and shotguns to sniper rifles and machine gun. But the fun part of the game is when you use power weapons. The game is about looting and shooting but has much more between that. It is a satisfying experienceRead full review...",5
Video Games,Great game!,You can co-op online and also death match. I love that it has a story line for solo missions also. Mainly plays first person but offers the third person social aspect in certain areas of the game. Overall a good experience for it being my first Destiny game I’ve ever played.Read full review...,5
Video Games,Awesome value for an awesome game,"At first I didn’t think I would like this game but the awesome graphics and the very fun gameplay made me love it. I got this game for such a great value, it was used but it was pretty much brand new. Thank you so much!Read full review...",5
Video Games,So much better than the first one!,Destiny 2 has so much content it will keep you satisfied for many enjoyable hours. There's so much more content than Destiny 1 it's amazing. I really enjoy this game and you will too.,5
Video Games,Great game at a great price!,"Really was skeptical at first in buying this game because of the reviews, but at this price I had to give it a trie. Didn’t regret it one bit!  Great game. Love every single moment of it! Recommend it!Read full review...",5
Video Games,Amazing game for an Amazing price,My friend let me borrow their copy and I couldn’t put it down I knew I had to buy a copy for myself. I wasn’t looking to pay full price for a new copy so when I found this game for only $20 on eBay I had to buy it! I highly recommended this game especially if you did not enjoy the first game like me.Read full review...,5
Video Games,Its been pretty fun,I have nothing else to say about the game except the story mode could have been better and having to look for more shaders is very annoying but other than that its pretty good,4
Video Games,More than what I could have expected!,I go into these things very hesitant! My expectations were blown away. No seriously I'm a business owner myself these guys super easy to talk to professional and they get the job done! 100% satisfied with all aspects of Destiny Pros! Thanks GuardiansRead full review...,5
Video Games,Good sequel to a unique shooter,If you played destiny 1 and liked the gameplay then you won't be disappointed by this one. Some people over critique this game but overall you can spend hours shooting down aliens and other guardians. FUN gameRead full review...,5
Video Games,Absolutely amazing.,Had clear communication throughout the entire process. Everything was guaranteed just as promised. Extremely fast. I couldn't believe how fast they were able to complete the task. 10 out of 10 easy. I would highly recommend this supplier without the slightest of doubts. I will definitely be doing business with them again. Simply amazing.Read full review...,5
Video Games,Can't beat this deal!,"Great deal and great game! Amazing brand new condition. Fun to play, I'm super addicted",5
Video Games,Good shooter,Good story for the most part.  Good graphics.  Stiff character movements.  Not my most fav game but OK,5
Video Games,Great even without the stranger!,"Though there's very little connection between Destiny 1 and 2, the story, gameplay, and progression is engaging. It'll make excited to enter the world of Destiny. Newcomers and veterans will appreciate the well-paced action and great makes the gameplay feel fresh and familiar. There's much more story to unlock and enjoy. The crucible is retooled and better at matching players on the same level.All in all, believe it - it's worth it!Read full review...",5
Video Games,Very happy with the game,Really liked us need to definitely better than the first one they do a good job of keeping it interesting,5
Video Games,Professional service,"Dave is an absolute pro, who plays 100% legitimate too. Highly recommend for those who prefer to go about the game as a solo player.",5
Video Games,Destiny 2,It's just like the first destiny game although I kind of like the first game a bit better.  Has pretty good graphics and free roam for most of the game.  I just felt like it could have done more. ,4
Video Games,Exactly what we were looking for!,Grandkids REALLY enjoy this game. Glad it was the specific one they wanted and was as advertised.,5
Video Games,"The game is good,still playing it still.",Well everything the info about it was right.it was brand new smoke free.lolpretty cool game. thanks.,5
Video Games,Great game ,It’s a great game without a doubt! Even came with a code for the cold heart exotic gun which you had to pre order the game to get ,5
Video Games,Good game!,"Great game for a great price, dlc was also on sale for 20 for both so it was a great buy!",5
Video Games,This game is great,Personally I had a blast being crazy and has a lot of great new things.,5
Video Games,Got Game fast works great,Got me the game really fast and works perfect.,5
Video Games,Good service,I was out of town during the weekend when this event happing and could not get it on time. They did it within half hour and made things done in the same day. Greatest service I had ever have. ,5
Video Games,Great PS4 gaming experience,"This game is very addictive, while you play the day flies by",5
Video Games,Giving this  game a second chance,"They fixed some issues I had with the game, so I'm giving it a second chance.",5
Video Games,Great Game with a great price!,Very brand new and came right on time thank you!,5
Video Games,Awesome,Thanks came before expected date thank you very good game,5
Video Games,Awesome sauce!,Such awesome game! Very please to do business with. I'll definitely recommend.,5
Video Games,Thank You!,Chill guy with big kahonas. Helped me finally get my Luna’s howl! Took him a week from the second step to get me Luna’s. He’s nothing short from being professional and awesome! .,5
Video Games,Worth it!,"When you get the service, make sure you watch the stream. It's a masterpiece at work. I'm  pretty good but this was like watching Jackie Chan beat a whole gang with a slipper.",5
Video Games,A great game,A very fun game you can enjoy with friends,5
Video Games,Amazing game,"Amazing cut scenes and gameplay, very compelling story 5 stars",5
Video Games,Awesome!!,Blows away the first one!! Amazing game.,5
Video Games,Destiny2,Excellent game to play online,5
Video Games,Destiny game ,"Something I have been after for a while now, fast and timely really going to enjoy this",5
Video Games,Great game for a great price ,"Picked this up because of the price, definitely worth it and a fun game to play. ",5
Video Games,A necessary tool to compete!,"He delivered as promised and sooner than expected!  This guy is legit and probably a crucible god among men!  Wish I play like him!  Maybe he will offer lessons in the next season, but until then I'm totally satisfy with his services.Read full review...",5
Video Games,We love this game!,My son an I love playing this game!,5
Video Games,Crazy good!!,"Amazing service for an amazing price! Saved me a lot of time, and stress. Will definitely use again!",5
Video Games,Destiny 1 reskin,"The game isn’t bad... they did a good job with story and all but I just feels like I’m playing a destiny 1 DLC. Not worth 60 bucks, but a decent game overall.",3
Video Games,Awesome work for a dang good price!,This pro literally ran me 1400 points in 5hrs. I checked my stats and henever lost. Thank you so much!!,5
Video Games,He is good. Did it on a few hours.,He got the job done and just on a few hours. I recommend to people. He is trusting. Thanks  man and if I need it I will buy again from him.,5
Video Games,Great game,Great game and fun to play,5
Video Games,Destiny 2 legend rank,"Best service ever. Literally had 40 glory points and in just 2 days, he got me all the way to legend. Definitely recommend it and I'm definitely going to recommend some friends to him.",5
Video Games,Awesome,Good same day service super quick super nice guy recommend to anyone wanting a fast hassle free service thanks,5
Video Games,Awesome!,Love the gameand it came faster than expected!,5
Video Games,Great game,Exactly what I wanted. Great game at a great price.,5
Video Games,Great game,Great game to play.,5
Video Games,Great game!,I love this game!,5
Video Games,Awesome game,Amazing!!,5
Video Games,Destiny 2,Great game. Fast paced and engaging,5
Video Games,Fast and quick,It was done in a timely manner and let me know when and healing it would take. Will definitely purchase from in the future.,5
Video Games,Great!!,"Fast reply. Directly to my inbox. Was interesting to find out that it was a code for xbox store, instead of destiny expansions. Worked out just as well, though!",5
Video Games,Destiny 2,Great price and good game.,5
Video Games,Great Price!!,This PS4 game was bout for my nephew as a Christmas gift!,5
Video Games,Fun sequel,Destiny 2 builds upon the first one. The story telling and gameplay is much better.,5
Video Games,Best Game ever!,Verified purchase:  Yes | Condition: new | Sold by: dburwebby,5
Video Games,Best of 2017,Really good story old faces new challenges plus DLC content bonus,5
Video Games,Wow just wow,I ordered this and one other for my husband both done within 24hr super super super happy,5
Video Games,Great game,Fast shipping!!,5
Video Games,I will recommend this friends and people,The guy is really good and helpful and good on replying I will defiantly will do something is future,5
Video Games,The Best!,Amazing players! Great sense of humor! Overall fun time! Highly recommend!!!,5
Video Games,Yes,This game is amazing,5
Video Games,Great game,Lots of fun,5
Video Games,A lot of fun!,Awesome game all around!,5
Video Games,Amazingly fast.,Got the raid done for me in no time. All chests were obtained and the results were amazing. I will return for the services.,5
Video Games,Honest and trustworthy,"Great guy, comes thru on what he says. Quick and fast so far 100% rate. Great price and never lets you down. I would 100% recommend him to anyone and I have to my clan.mates.",5
Video Games,Does great work!,"Very responsive, easy to work with. Would recommend!",5
Video Game Consoles,Hyperkin Retron 77 Atari 2600 HD brand new,"Really cool old school (but brand new) Atari 2600 that is 720p and hooks up via HDMI to new TV's. Have only played it a couple of times since I only bought one cartridge, but it is great. My only possible negative is that it comes with just one controller, but extras are easy to get on eBay. Read full review...",5
Video Game Consoles,"Great joystick, fun unitl it died within 2 weeks","It blew up, as in stopped working completely, within 2 weeks.  It was a neat little item before that but nothing you can't do with an emulator.  In fact, it's just a box that runs the Stella emulator!  The joystick is really nice though.Read full review...",2
Video Game Consoles,A lot of fun,"Works great but have a limited number of games, you need to check the list of ATARI 2600 compatibles cartridges before buying it. OR, you can download free roms and play whatever you want.As an example, STAR WARS ARCADE cartridge didn't work but the rom works perfect.Read full review...",4
Video Game Consoles,Atari Retro Games Live On!,"Having a modernized console that can play your retro 2600 video games on HD televisions is a gift from the Atari Gods on Mount Colecovision.It's small, effective, and very easy to use. It even comes with a HDMI cord to hook up to your giant HD TV.The controller is an improved Atari style controller that works for both left and right handed people. Unless you're Stephen Hawking. Good luck with that.The Retron is packaged nicely and is well worth the price tag.Read full review...",5
Video Game Consoles,Some games don't work,"The games that play have incredible graphics, but most of my Atari games do not work with the system.  Don't pay full price.  Technical support was useless.  Company did give me $20 back, but again don't expect all of your games to work.Read full review...",3
Video Game Consoles,Atari retro,Brings back all those days spent in front of the old Zenith. Although the joystick did start to squeak after about a hour. Will need to get some electronics safe lube to fix that. Love being able to be a kid again!Read full review...,4
Video Game Consoles,Joystick is junk !!!!!!,Joystick broke after couple hours play - emailed hyperkin (they know its a issue) sent them video of it sounding like rocks in a coffee can and they wanna see how it affects play lol well i cant move left to right its ridiculous... last product i buy from hyperkin !!!Read full review...,3
Video Game Consoles,Good substitute for my original VCS.,"Doesn't play all my original 2600 games especially Pitfall II, or some of the newer homebrew titles.",4
Video Game Consoles,Atari reborn!,Absolutely love this!!,5
Video Game Consoles,Great Atari emulation device,Awesome Atari machine to play in high definition,5
Video Game Consoles,It works great with original games!,Great to play the original games with.,5
Video Game Consoles,2600 Fun,Once updated this is a very good emulator.,5
Video Game Consoles,Retron 77 Atari game console,It works unlike most old Atari consoles.,5
Video Game Consoles,Great,Great,5
Balloons,Good Lobster,"This was a good lobster balloon, exactly what I needed. Speedy delivery and a good size.",5
Balloons,Great balloon or any gamer,My son was so happy with this on his birthday. Really happy thank you. Lasted days too !,5
Balloons,Amazing,Just what i wanted,5
Balloons,Great balloons,Fab balloons,5
Balloons,Brilliant,Verified purchase: Yes | Condition: New,5
Headphones,Amazing wireless headphones from Sony! I'd compare to highest end Bose all day!,"Excellent bluetooth range, plenty of volume, less bass heavy than Beats Studio 3, but very good sound quality much like Sony's MDR studio headphones. Very flat response, but very clever app for Apple and Android with eq feature and more. Noise canceling is A+, phone calls sound great on both ends... Highly recommend this product! Best bang for the buck for sure! I'd rate them 4.5 outta 5, the only con is not as bass heavy for the hip hop edm fans.Read full review...",5
Headphones,Awesome sound quality with decent noise cancellation and good comfort,Stunning sound quality -- crisped clarity with excellent details.  The bass is a bit heavy at default setting.  I used the app to tune it down one step.  Don't need to search for other headphones unless you want audiophile sound.  Noise cancellation is good enough for normal use. Ambient mode is decent that I can hear the external sound. Read full review...,5
Headphones,"wh910n is okay, but wh900n is still better in sound","I would say wh900n is definitely better in overall sound quality and bass quality, and also, more comforfable where wearing longer, compared to the wh910n. wh900n has a longer distance between the hears and the sound unit, so a thicker cushion. wh910n has better bluetooth connection, bettery performance, and a lighter weight. But for the shape and the material, I like the style of wh900n, and the metal feeling of wh900n... wh910 feels more plastic.....Read full review...",4
Headphones,Great value headphones,"Great headphones for the price. My other pair is the Sony WH-1000XM3, and these are actually comparable with those (other than that these have a 25mm driver and the XMs, 40mm - which only means you need to have higher volume levels on the h.ear which in-turn means faster battery discharge). But for the cost, these are actually worth it.Read full review...",5
Headphones,Excellent Headphone for Work From Home,"Latest BT 5.0 version, light weight. I work from home and use it to connect to my windows 10 laptop without BT adapter for MS Teams, Zoom, Skype calls, etc Noise cancellation is very good. ",5
